Date Created [UTC]	: 2024-05-31 07:27:21
Author				: DHI
Source				: https://www.metocean-on-demand.com/
Point Name			: Generic Site A
Longitude [deg.E]	: 4.918762
Latitude [deg.N]	: 54.983196
Projection			: EPSG:4326
Dataset ID			: DWF23-SW-WRF
Water Depth [mMSL]	: 40.800000
Cell Size [m]		: 5879.800000
Start Date [UTC]	: 1979-01-01 07:00:00
End Date [UTC]		: 2023-09-30 23:00:00
Time Step [s]		: 3600.0
Fill Value			: -9999

datetime (ISO 8601) [UTC],Sign. Wave Height (H_{m0}) [m],Peak Wave Period (T_{p}) [s],Mean Wave Period (T_{01}) [s],Zero-crossing Wave Period (T_{02}) [s],Peak Wave Direction (PWD) [\Deg.N-from],Mean Wave Direction (MWD) [\Deg.N-from],Directional Standard Deviation (DSD) [\Deg.],Sign. Wave Height - Wind-Sea (H_{m0-Sea}) [m],Peak Wave Period - Wind-Sea (T_{p-Sea}) [s],Mean Wave Period - Wind-Sea (T_{01-Sea}) [s],Zero-crossing Wave Period - Wind-Sea (T_{02-Sea}) [s],Peak Wave Direction - Wind-Sea (PWD_{Sea}) [\Deg.N-from],Mean Wave Direction - Wind-Sea (MWD_{Sea}) [\Deg.N-from],Directional Standard Deviation - Wind-Sea (DSD_{Sea}) [\Deg.],Sign. Wave Height - Swell (H_{m0-Swell}) [m],Peak Wave Period - Swell (T_{p-Swell}) [s],Mean Wave Period - Swell (T_{01-Swell}) [s],Zero-crossing Wave Period - Swell (T_{02-Swell}) [s],Peak Wave Direction - Swell (PWD_{Swell}) [\Deg.N-from],Mean Wave Direction - Swell (MWD_{Swell}) [\Deg.N-from],Directional Standard Deviation - Swell (DSD_{Swell}) [\Deg.]
1979-01-31 06:00:00,1.04,7.22,5.07,4.15,30,23.54,37.85,0.31,2.46,1.9,1.71,290,301.39,35.35,0.99,7.22,6.04,5.67,30,28.73,31.44
1979-01-31 07:00:00,0.99,7.13,5.35,4.5,30,24.05,35.04,0.2,2.37,1.7,1.54,300,283.06,30.24,0.97,7.13,5.89,5.47,30,26.45,30.82
1979-01-31 08:00:00,0.96,7.04,5.18,4.23,30,23.2,36.23,0.23,2.17,1.65,1.49,270,267.04,34.32,0.93,7.04,5.95,5.58,30,26.11,29.09
1979-01-31 09:00:00,0.94,6.95,4.85,3.9,30,21.2,41.61,0.3,2.28,1.83,1.65,240,247.17,33.99,0.89,6.95,5.99,5.64,30,25.57,27.08
1979-01-31 10:00:00,0.91,6.87,4.49,3.58,30,18.91,48.55,0.37,2.44,1.97,1.78,230,236.54,32.47,0.84,6.87,6.02,5.68,30,25.37,24.76
1979-01-31 11:00:00,1.04,6.78,3.75,3.16,30,335.67,67.06,0.7,3.26,2.54,2.31,250,243.75,30.38,0.78,6.78,6.08,5.74,30,25.12,24.22
1979-01-31 12:00:00,1.19,4.04,3.78,3.32,30,279.81,65.47,0.94,4,3.1,2.82,250,243,31.29,0.72,6.66,6.13,5.78,30,24.46,24.18
1979-01-31 13:00:00,1.54,4.71,3.96,3.56,250,256.36,51.6,1.4,4.67,3.67,3.34,250,245.7,30.28,0.65,6.53,6.18,5.8,30,23.66,23.49
1979-01-31 14:00:00,1.86,5.53,4.38,3.98,260,252.75,43.22,1.77,5.5,4.25,3.87,260,247.57,30.11,0.59,6.48,6.18,5.7,30,21.95,25.04
1979-01-31 15:00:00,1.97,5.92,4.67,4.25,260,252.53,40.17,1.89,5.88,4.58,4.18,260,248.99,30.11,0.54,6.48,6.13,5.58,30,22.04,32.61
1979-01-31 16:00:00,2.07,6.25,4.86,4.4,260,253.47,37.74,2.01,6.24,4.79,4.35,260,250.8,29.95,0.5,6.5,6.2,5.6,30,20.19,36.67
1979-01-31 17:00:00,2.15,6.41,4.97,4.49,260,253.53,36.31,2.1,6.4,4.92,4.45,260,251.4,30.04,0.47,6.51,6.18,5.54,30,18.77,37.93
1979-01-31 18:00:00,2.24,6.64,5.13,4.66,260,254.05,35.14,2.19,6.64,5.09,4.63,260,252.46,30,0.46,8.57,6.42,5.82,30,16.55,47.88
1979-01-31 19:00:00,2.29,6.85,5.24,4.75,260,254.67,34.67,2.25,6.85,5.21,4.72,260,253.19,30.34,0.43,6.48,6.39,5.81,30,15.55,42.9
1979-01-31 20:00:00,2.42,6.96,5.35,4.85,250,254.26,33.97,2.38,6.96,5.32,4.82,250,253.06,30.34,0.42,9.13,6.45,5.81,30,11.9,48.26
1979-01-31 21:00:00,2.58,7.04,5.43,4.92,250,254.27,32.83,2.55,7.05,5.41,4.91,250,253.4,30.1,0.37,6.39,6.11,5.43,30,16.61,42.42
1979-01-31 22:00:00,2.64,7.1,5.45,4.93,250,253.05,32.27,2.61,7.11,5.45,4.93,250,252.36,30.02,0.34,6.36,5.86,5.14,30,15.7,43.01
1979-01-31 23:00:00,2.68,7.17,5.5,4.97,250,252.6,31.74,2.66,7.17,5.49,4.97,250,252.09,29.88,0.32,6.34,5.69,4.91,30,16.24,48.98
1979-02-01 00:00:00,2.67,7.24,5.58,5.07,250,252.51,31.41,2.66,7.23,5.58,5.07,250,251.98,29.75,0.31,8.15,5.59,4.91,340,8.09,48.29
1979-02-01 01:00:00,2.65,7.34,5.63,5.12,250,252.05,31.36,2.63,7.34,5.62,5.11,250,251.41,29.91,0.31,9.64,6.31,5.45,340,351.58,44.26
1979-02-01 02:00:00,2.65,7.46,5.69,5.16,250,251.15,31.53,2.63,7.46,5.67,5.15,250,250.46,30.2,0.33,10.39,6.88,5.9,310,337.59,46.03
1979-02-01 03:00:00,2.62,7.54,5.75,5.21,250,251.35,32.12,2.57,7.53,5.68,5.16,250,249.66,30.44,0.51,9.65,8.33,7.48,290,306.48,37.94
1979-02-01 04:00:00,2.54,7.6,5.77,5.22,250,251.67,32.99,2.46,7.57,5.66,5.13,250,248.85,30.75,0.62,9.46,8.36,7.68,300,303.58,33.46
1979-02-01 05:00:00,2.5,7.62,5.76,5.21,250,251.79,33.6,2.41,7.58,5.63,5.11,250,248.37,31.27,0.64,9.42,8.4,7.73,300,305.56,27.21
1979-02-01 06:00:00,2.43,7.61,5.69,5.12,240,251.59,34.55,2.25,7.45,5.38,4.87,240,244.47,31.04,0.94,8.89,8.43,8.04,300,294.34,26.63
1979-02-01 07:00:00,2.4,7.54,5.59,5.03,240,250.94,34.94,2.3,7.47,5.44,4.91,240,246.87,32.26,0.68,9.39,8.22,7.56,300,303.16,30.36
1979-02-01 08:00:00,2.3,7.48,5.59,5.03,240,251.15,35.59,2.08,7.09,5.22,4.74,240,242.7,31.8,0.98,8.58,8.16,7.8,290,291.21,28.29
1979-02-01 09:00:00,2.25,7.39,5.48,4.94,240,249.33,36.21,2.13,7.19,5.29,4.78,240,243.4,32.67,0.74,8.84,7.93,7.38,300,302.72,26.84
1979-02-01 10:00:00,2.22,7.21,5.47,4.94,240,248.96,36.28,1.99,6.91,5.08,4.63,240,241.16,32.19,0.97,8.31,7.97,7.61,280,285.28,35.3
1979-02-01 11:00:00,2.17,7.05,5.41,4.89,240,248.2,36.87,2,6.9,5.11,4.66,240,242.72,32.87,0.86,8.46,7.96,7.47,290,284.82,42.35
1979-02-01 12:00:00,2.11,6.97,5.42,4.91,240,246.7,38.29,1.83,6.74,4.92,4.5,240,240.35,33.83,1.06,7.86,7.74,7.39,300,269.4,44.32
1979-02-01 13:00:00,2.1,6.92,5.39,4.87,240,243.49,39.78,1.84,6.74,4.96,4.52,240,239.33,34.49,0.99,7.88,7.69,7.24,190,263.52,51.46
1979-02-01 14:00:00,2.06,6.9,5.39,4.85,210,240.1,41.01,1.74,6.55,4.82,4.39,210,231.83,33.28,1.11,7.77,7.57,7.19,300,267.97,49.7
1979-02-01 15:00:00,2.08,6.95,5.47,4.93,200,235.23,42.14,1.8,6.75,4.99,4.55,210,227.95,32.87,1.04,7.99,7.66,7.15,310,271.36,55.19
1979-02-01 16:00:00,2.07,7.11,5.63,5.04,200,231.01,43.79,1.49,6.24,4.55,4.14,220,226.55,32.74,1.44,7.51,7.54,7.25,200,237.96,52.73
1979-02-01 17:00:00,2.03,7.24,5.85,5.22,200,228.34,45.7,0.76,4.26,3.17,2.91,240,229.45,36.62,1.88,7.24,6.81,6.57,200,228.12,47.03
1979-02-01 18:00:00,1.97,7.33,5.96,5.31,200,227.11,47.22,0.4,3.24,2.32,2.12,250,255.85,35.38,1.93,7.33,6.38,6.02,200,225.68,47.35
1979-02-01 19:00:00,1.92,7.42,5.91,5.16,200,226.25,49.42,0.3,4.06,2.17,1.87,340,349.79,29.54,1.89,7.42,6.19,5.68,200,224.62,47.45
1979-02-01 20:00:00,1.89,7.45,5.51,4.69,200,230.46,57.09,0.64,3.03,2.6,2.32,330,3,34.54,1.77,7.45,6.45,6.07,200,223.46,48.17
1979-02-01 21:00:00,1.82,7.44,5.46,4.67,210,236.58,61.69,0.71,3.39,2.77,2.51,20,11.26,34.51,1.68,7.44,6.59,6.25,210,226.73,50.81
1979-02-01 22:00:00,1.75,7.36,5.45,4.65,210,242.45,64.43,0.71,3.41,2.8,2.53,30,18.51,35.15,1.6,7.36,6.71,6.37,210,231.12,53.3
1979-02-01 23:00:00,1.72,7.24,5.37,4.55,210,259.78,67.08,0.79,3.61,2.94,2.66,20,13.17,35.94,1.52,7.24,6.88,6.54,210,237.62,55.97
1979-02-02 00:00:00,1.72,7.18,5.36,4.54,210,284.7,67.3,0.86,3.74,3.08,2.79,340,9.81,35.82,1.49,7.2,7.12,6.76,210,250.34,58.81
1979-02-02 01:00:00,1.77,7.24,5.42,4.55,330,305.05,64.09,0.97,3.83,3.3,2.97,330,359.49,36.83,1.48,7.34,7.51,7.11,210,265.21,60.73
1979-02-02 02:00:00,1.87,7.53,5.52,4.68,330,319.14,58.62,1.12,4.17,3.6,3.25,320,353.11,34.87,1.49,10.56,7.91,7.5,330,283.59,60.3
1979-02-02 03:00:00,1.9,10.34,5.72,4.85,330,323.5,53.92,1.14,4.38,3.71,3.35,320,349.57,34.7,1.52,10.34,8.25,7.86,330,299.53,57.26
1979-02-02 04:00:00,1.95,10.25,5.84,4.99,330,326.66,48.79,1.27,4.6,4.06,3.66,330,342.82,32.18,1.48,10.25,8.61,8.21,330,308.2,54.94
1979-02-02 05:00:00,1.99,10.23,5.91,5.05,330,328.35,43.77,1.32,4.86,4.16,3.75,330,339.63,30.55,1.48,10.23,8.91,8.55,330,315.8,50.17
1979-02-02 06:00:00,2.01,10.28,6.03,5.18,330,329.37,38.94,1.39,7.52,4.38,3.96,320,335.77,28.64,1.45,10.28,9.27,8.89,330,321.78,45.69
1979-02-02 07:00:00,2.04,10.42,6.17,5.29,330,330.05,34.49,1.39,5.17,4.36,3.96,330,334.35,28.17,1.5,10.42,9.56,9.24,330,325.88,38.74
1979-02-02 08:00:00,2.13,10.82,6.33,5.41,330,330.96,30.53,1.47,7.47,4.5,4.08,320,332.33,26.84,1.54,10.82,10.02,9.71,330,329.63,33.48
1979-02-02 09:00:00,2.25,11.58,6.57,5.6,330,332.08,27.53,1.54,7.49,4.62,4.17,330,331.19,26.3,1.65,11.58,10.41,10.11,330,332.87,28.53
1979-02-02 10:00:00,2.36,11.72,6.88,5.85,330,333.25,25.58,1.54,6.95,4.66,4.21,330,331.24,26.17,1.79,11.72,10.58,10.33,340,334.7,25.05
1979-02-02 11:00:00,2.43,11.64,7.11,6.02,340,334.22,24.49,1.44,6.71,4.48,4.06,330,330.58,27.31,1.96,11.64,10.37,10.13,340,336.09,22.64
1979-02-02 12:00:00,2.46,11.49,7.24,6.14,340,334.9,23.96,1.4,6.7,4.46,4.04,330,328.99,27.33,2.03,11.49,10.31,10.07,340,337.59,21.68
1979-02-02 13:00:00,2.46,11.32,7.27,6.18,340,335.13,23.9,1.37,6.72,4.46,4.04,330,326.73,27.35,2.04,11.32,10.19,9.92,340,338.75,21.23
1979-02-02 14:00:00,2.45,11.09,7.14,6.06,340,334.75,24.19,1.39,6.72,4.41,3.99,330,324.36,27.71,2.02,11.09,10.09,9.85,340,339.39,20.82
1979-02-02 15:00:00,2.43,10.89,6.97,5.93,340,333.91,24.86,1.43,6.72,4.44,4.01,330,321.07,28.06,1.96,10.89,10,9.74,340,340.28,20.33
1979-02-02 16:00:00,2.41,10.74,6.76,5.75,340,332.33,26.16,1.44,6.39,4.37,3.94,310,314.88,28.12,1.93,10.74,9.69,9.36,340,341.28,20.09
1979-02-02 17:00:00,2.39,10.62,6.56,5.6,340,330.04,27.85,1.55,6.76,4.53,4.08,330,312.39,29.26,1.82,10.62,9.75,9.39,340,341.81,19.8
1979-02-02 18:00:00,2.42,10.51,6.27,5.39,340,325.54,30.75,1.67,6.71,4.57,4.12,330,304.57,30.3,1.75,10.51,9.55,9.15,340,342.88,18.55
1979-02-02 19:00:00,2.41,10.4,6.09,5.26,340,321.28,33.34,1.73,6.06,4.56,4.12,330,297.93,31.43,1.68,10.4,9.43,9.09,340,343.11,17.66
1979-02-02 20:00:00,2.42,10.27,5.89,5.08,340,315.43,36.8,1.78,5.95,4.51,4.06,330,288.3,32.35,1.65,10.28,9.14,8.76,340,343.21,16.76
1979-02-02 21:00:00,2.47,10.12,5.71,4.96,340,306.8,40.57,1.88,5.79,4.51,4.07,270,277.23,32.9,1.61,10.13,8.95,8.59,340,342.62,15.62
1979-02-02 22:00:00,2.6,9.85,5.57,4.91,340,294.15,43.54,2.12,5.94,4.69,4.25,260,267.96,33.19,1.5,10.02,8.89,8.52,340,342.86,13.81
1979-02-02 23:00:00,2.82,6.4,5.54,4.93,260,280.94,43.55,2.47,6.34,4.95,4.48,260,262.67,33.25,1.36,9.83,9.09,8.72,340,343.16,13.94
1979-02-03 00:00:00,3.08,6.9,5.68,5.1,260,272.2,41.21,2.84,6.84,5.32,4.83,260,261.06,32.87,1.19,9.81,9.25,8.83,340,344.7,13.74
1979-02-03 01:00:00,3.4,7.3,5.9,5.34,270,267.15,38.63,3.21,7.24,5.66,5.15,270,259.67,31.9,1.1,9.91,9.32,8.83,340,344.42,14.17
1979-02-03 02:00:00,3.63,7.73,6.09,5.51,270,264.23,36.91,3.49,7.68,5.93,5.38,270,259.01,31.58,0.99,10.05,9.36,8.77,340,345.5,14.69
1979-02-03 03:00:00,3.81,7.95,6.24,5.64,270,262.44,35.7,3.69,7.9,6.11,5.54,270,258.21,31.04,0.95,10.05,9.29,8.59,340,345.16,15.39
1979-02-03 04:00:00,3.89,8.32,6.45,5.86,270,262.52,34.97,3.79,8.27,6.35,5.78,270,259.2,30.97,0.88,10.42,9.11,8.36,340,346.23,23.52
1979-02-03 05:00:00,4.02,8.51,6.59,5.98,270,263.35,34.31,3.93,8.47,6.51,5.91,270,260.77,31.12,0.81,10.09,9.15,8.36,340,347.45,24.49
1979-02-03 06:00:00,4.15,8.69,6.72,6.09,270,265.54,33.68,4.09,8.64,6.67,6.05,270,263.7,31.33,0.72,10.09,9.12,8.21,340,349.09,28.27
1979-02-03 07:00:00,4.25,9.05,6.98,6.35,280,269.35,32.96,4.2,9.02,6.94,6.32,280,268.15,31.13,0.67,10.82,8.76,7.68,350,348.51,42.78
1979-02-03 08:00:00,4.73,9.36,7.12,6.46,280,275.3,31,4.71,9.36,7.13,6.48,280,275.38,30.17,0.43,10.64,6.1,5.3,180,154.86,74.25
1979-02-03 09:00:00,4.81,9.52,7.25,6.57,280,278.17,30.54,4.79,9.51,7.27,6.6,280,278.66,29.58,0.47,6.29,5.49,4.91,190,184.96,39.68
1979-02-03 10:00:00,4.54,9.59,7.32,6.64,280,279.7,30.98,4.51,9.58,7.33,6.65,280,279.96,29.87,0.51,10.87,6.94,6.02,190,197.68,67.07
1979-02-03 11:00:00,4.43,9.6,7.32,6.62,280,281.58,31.8,4.4,9.6,7.32,6.62,280,281.56,30.8,0.49,12.85,7.64,6.58,190,302.81,78.44
1979-02-03 12:00:00,4.44,9.59,7.31,6.62,280,284.22,32.53,4.41,9.59,7.3,6.61,280,284.41,31.42,0.53,12.01,8.1,7.19,200,218.36,71.69
1979-02-03 13:00:00,4.38,9.59,7.33,6.63,280,287.89,33.49,4.35,9.58,7.32,6.62,280,287.77,32.43,0.53,12.2,8.69,7.66,0,338.12,74.2
1979-02-03 14:00:00,4.32,9.57,7.34,6.64,280,290.98,34.03,4.28,9.56,7.3,6.61,280,290.24,32.85,0.62,12.91,10.23,9.1,0,354.92,53.01
1979-02-03 15:00:00,4.28,9.54,7.31,6.61,320,295.03,34.25,4.23,9.51,7.27,6.59,320,294.48,32.77,0.68,12.8,9.13,7.96,0,346.83,63.01
1979-02-03 16:00:00,4.17,9.5,7.27,6.58,320,297.19,34.33,4.1,9.47,7.21,6.53,320,296.06,32.78,0.75,11.85,9.99,8.97,350,352.21,50.75
1979-02-03 17:00:00,4.04,9.43,7.21,6.53,320,299.77,34.23,3.96,9.39,7.12,6.46,320,298.94,32.42,0.81,11.94,10.22,9.33,350,337.36,58.42
1979-02-03 18:00:00,3.9,9.34,7.12,6.45,320,301.39,33.96,3.82,9.3,7.04,6.38,320,300.53,32.14,0.78,11.89,10.16,9.31,0,339.79,57.91
1979-02-03 19:00:00,3.79,9.25,7.05,6.39,320,303.22,33.54,3.71,9.23,6.96,6.32,320,302.34,31.68,0.78,11.93,10.22,9.46,0,339.1,56.94
1979-02-03 20:00:00,3.68,9.2,6.99,6.34,320,305.02,33.26,3.6,9.16,6.89,6.26,320,304.17,31.36,0.77,11.8,10.26,9.56,0,338.27,56.87
1979-02-03 21:00:00,3.55,9.19,6.86,6.19,320,306.58,33.34,3.41,9.11,6.67,6.04,320,304.08,31.2,0.97,11.49,10.53,9.99,350,344.68,41.27
1979-02-03 22:00:00,3.38,9.18,6.82,6.15,320,308.14,33.65,3.14,8.77,6.46,5.86,320,303.09,31.29,1.26,10.73,10.46,10.13,350,341.61,32.07
1979-02-03 23:00:00,3.25,9.18,6.76,6.09,320,309.39,33.96,2.96,8.74,6.31,5.73,310,303.55,31.5,1.35,10.67,10.32,10.04,350,339.21,32.59
1979-02-04 00:00:00,3.14,9.2,6.72,6.04,320,310.52,34.17,2.79,8.48,6.16,5.59,320,302.86,31.62,1.43,10.49,10.2,9.97,340,340.11,29.55
1979-02-04 01:00:00,3.02,9.23,6.67,5.99,330,311.33,34.45,2.68,8.47,6.1,5.54,320,302.66,31.84,1.4,10.45,10.06,9.8,340,342.96,26.8
1979-02-04 02:00:00,2.94,9.24,6.52,5.82,330,311.41,34.8,2.53,8.34,5.84,5.27,320,300.05,31.65,1.49,10.08,9.79,9.52,350,343.24,24.54
1979-02-04 03:00:00,2.82,9.24,6.47,5.77,340,311.88,35.2,2.32,7.93,5.59,5.07,300,297.76,32.09,1.6,9.72,9.61,9.4,340,340.23,24.72
1979-02-04 04:00:00,2.71,9.23,6.42,5.72,340,312.52,35.47,2.15,7.61,5.41,4.9,310,295.77,32.02,1.65,9.6,9.39,9.21,340,339.52,24.59
1979-02-04 05:00:00,2.61,9.21,6.34,5.63,340,313.03,35.74,1.94,7.25,5.08,4.6,290,293.09,32.96,1.74,9.27,9.16,9,340,335.96,25.27
1979-02-04 06:00:00,2.5,9.19,6.34,5.62,340,313.8,35.76,1.76,6.8,4.89,4.44,300,290.51,32.7,1.78,9.19,8.93,8.77,340,334.85,25.52
1979-02-04 07:00:00,2.4,9.16,6.31,5.57,330,314.66,35.71,1.54,6.39,4.57,4.15,290,287.65,32.79,1.84,9.16,8.64,8.42,340,332.18,26.89
1979-02-04 08:00:00,2.31,9.06,6.29,5.53,330,315.58,35.52,1.36,6.09,4.27,3.88,280,285.75,33.32,1.87,9.06,8.4,8.19,340,329.9,27.94
1979-02-04 09:00:00,2.21,8.9,6.29,5.52,330,316.55,35.25,1.2,5.63,4.06,3.69,280,283.06,32.81,1.85,8.9,8.18,7.96,340,329.28,28.06
1979-02-04 10:00:00,2.11,8.78,6.26,5.46,330,317.17,35.15,1.06,5.5,3.83,3.47,270,279.67,32.72,1.83,8.78,7.97,7.71,330,328.5,28.18
1979-02-04 11:00:00,2.02,8.69,6.25,5.45,330,317.97,34.97,0.96,5.34,3.68,3.34,280,275.86,32.11,1.78,8.69,7.83,7.56,330,328.61,27.69
1979-02-04 12:00:00,1.93,8.63,6.27,5.45,330,319.13,34.61,0.78,4.68,3.31,3.01,280,273.19,32.29,1.76,8.63,7.59,7.31,330,326.93,29.08
1979-02-04 13:00:00,1.84,8.58,6.29,5.44,330,320.41,34.23,0.67,4.45,3.07,2.79,280,274.23,33.87,1.72,8.58,7.47,7.18,330,326.38,29.89
1979-02-04 14:00:00,1.76,8.53,6.29,5.41,330,321.53,33.93,0.62,4.33,2.98,2.69,280,274.87,33.56,1.65,8.53,7.44,7.14,330,327.11,29.83
1979-02-04 15:00:00,1.7,8.49,6.31,5.42,330,322.58,33.65,0.52,4,2.73,2.47,280,274.29,34.41,1.62,8.49,7.32,6.99,330,326.86,30.36
1979-02-04 16:00:00,1.64,8.45,6.33,5.42,330,323.49,33.41,0.49,3.93,2.68,2.41,280,275.87,34.35,1.56,8.45,7.31,6.97,330,327.43,30.43
1979-02-04 17:00:00,1.59,8.42,6.36,5.44,330,324.32,33.19,0.47,4,2.68,2.41,290,278.77,34.33,1.52,8.42,7.33,6.99,340,328.1,30.42
1979-02-04 18:00:00,1.54,8.39,6.42,5.49,340,325.21,32.98,0.31,2.92,2.06,1.87,280,276.8,36.2,1.51,8.39,7.02,6.6,340,326.86,31.69
1979-02-04 19:00:00,1.51,8.37,6.5,5.56,340,326.17,32.73,0.28,2.9,2.02,1.83,280,282.28,35.68,1.48,8.37,7.05,6.61,340,327.52,31.78
1979-02-04 20:00:00,1.49,8.37,6.61,5.69,340,327.27,32.41,0.2,2.38,1.7,1.55,280,279.12,36.67,1.47,8.37,6.97,6.45,340,327.99,31.84
1979-02-04 21:00:00,1.48,8.4,6.69,5.71,340,328.43,31.95,0.24,2.68,1.91,1.72,280,289.61,35.13,1.46,8.4,7.17,6.67,340,329.33,31.36
1979-02-04 22:00:00,1.47,8.49,6.83,5.84,340,329.71,31.27,0.21,2.64,1.82,1.64,280,287.37,36.06,1.46,8.49,7.25,6.73,340,330.48,30.68
1979-02-04 23:00:00,1.47,8.67,6.96,5.97,340,331,30.47,0.2,2.63,1.8,1.62,280,285.06,34.28,1.46,8.67,7.35,6.81,340,331.72,29.88
1979-02-05 00:00:00,1.47,8.85,7.03,5.98,340,332.25,29.56,0.2,2.65,1.77,1.59,290,293.71,35.09,1.46,8.85,7.46,6.92,340,332.9,29.05
1979-02-05 01:00:00,1.47,8.91,7.07,5.94,350,333.46,28.59,0.26,3.22,2.09,1.85,300,314.57,34.46,1.44,8.91,7.69,7.17,350,334.04,28.2
1979-02-05 02:00:00,1.45,8.89,7.11,5.95,350,334.42,27.76,0.24,2.92,1.9,1.7,300,307.13,34.58,1.43,8.89,7.7,7.18,350,335.1,27.23
1979-02-05 03:00:00,1.43,8.83,7.12,5.93,350,335.3,26.94,0.24,2.93,1.9,1.71,310,317.35,34.1,1.41,8.83,7.74,7.21,350,335.77,26.56
1979-02-05 04:00:00,1.41,8.75,6.97,5.7,350,335.73,26.27,0.34,3.63,2.28,2.03,300,318.98,32.98,1.37,8.75,7.98,7.51,350,336.67,25.51
1979-02-05 05:00:00,1.39,8.68,6.82,5.52,350,336.04,25.71,0.37,3.62,2.31,2.07,310,320.68,32.98,1.34,8.68,8,7.54,350,337.11,24.75
1979-02-05 06:00:00,1.37,8.63,6.66,5.36,350,335.96,25.31,0.44,4.01,2.54,2.27,310,319.67,31.64,1.3,8.63,8.16,7.71,350,337.64,23.92
1979-02-05 07:00:00,1.35,8.58,6.51,5.23,350,335.91,24.92,0.49,4.1,2.71,2.43,310,322.37,30.54,1.26,8.58,8.29,7.85,350,337.84,23.37
1979-02-05 08:00:00,1.34,8.54,6.33,5.06,340,335.69,24.72,0.54,4.32,2.79,2.51,310,322.19,30.54,1.23,8.54,8.38,7.94,340,338.09,22.66
1979-02-05 09:00:00,1.32,8.51,6.4,5.12,340,335.62,24.66,0.46,3.63,2.56,2.32,310,320.86,31.86,1.24,8.51,8.08,7.56,340,337.49,22.87
1979-02-05 10:00:00,1.31,8.49,6.36,5.05,340,335.67,24.45,0.54,4.45,2.82,2.52,320,323.79,31.61,1.2,8.49,8.52,8.05,340,337.86,22.09
1979-02-05 11:00:00,1.31,8.48,6.35,5.03,340,335.97,24.32,0.52,4.06,2.74,2.47,320,324.48,31.39,1.2,8.48,8.49,8,340,337.97,22.16
1979-02-05 12:00:00,1.33,8.5,6.16,4.87,340,336.41,24.11,0.63,4.96,3,2.69,320,328.73,29.68,1.17,8.5,8.91,8.43,340,338.5,21.79
1979-02-05 13:00:00,1.35,8.55,6.09,4.84,340,336.99,24,0.69,5.03,3.13,2.81,330,330.75,28.7,1.16,8.55,9.11,8.65,350,339.05,21.75
1979-02-05 14:00:00,1.38,8.66,5.96,4.75,340,337.6,23.96,0.76,5.51,3.26,2.92,330,332.17,28.22,1.15,8.66,9.34,8.9,350,339.84,21.47
1979-02-05 15:00:00,1.4,8.82,5.91,4.73,350,338.45,23.87,0.79,5.47,3.31,2.97,340,333.98,28.21,1.16,8.82,9.35,8.92,350,340.42,21.27
1979-02-05 16:00:00,1.41,9.01,5.92,4.76,350,339.09,23.75,0.81,5.46,3.36,3.02,340,334.82,28.27,1.16,9.01,9.32,8.89,350,341.01,20.97
1979-02-05 17:00:00,1.43,9.1,5.94,4.8,350,339.68,23.64,0.79,4.99,3.34,3.01,340,336.05,28.66,1.18,9.1,9.14,8.7,350,341.21,20.8
1979-02-05 18:00:00,1.43,9.07,5.98,4.85,350,340.25,23.51,0.75,4.92,3.24,2.93,340,336.85,30.06,1.21,9.07,8.87,8.43,350,341.46,20.29
1979-02-05 19:00:00,1.45,8.99,5.86,4.79,350,340.46,23.36,0.86,5.48,3.49,3.15,340,337.74,28.32,1.18,8.99,9.2,8.8,350,341.81,20.1
1979-02-05 20:00:00,1.47,8.9,5.89,4.82,350,340.65,23.47,0.8,4.92,3.31,3,340,337.82,30.17,1.23,8.9,8.75,8.32,350,341.74,19.92
1979-02-05 21:00:00,1.47,8.82,5.94,4.87,350,340.69,23.41,0.78,4.93,3.3,2.99,340,337.63,30.43,1.25,8.82,8.68,8.26,350,341.8,19.87
1979-02-05 22:00:00,1.48,8.77,6.01,4.94,350,340.87,23.35,0.77,4.92,3.3,2.99,340,337.76,30.49,1.27,8.77,8.62,8.21,350,341.92,19.96
1979-02-05 23:00:00,1.5,8.74,6.13,5.02,350,341.25,23.27,0.68,4.46,3.06,2.77,340,339.07,32.59,1.33,8.74,8.26,7.8,350,341.75,20.16
1979-02-06 00:00:00,1.51,8.8,6.25,5.13,350,341.51,23.11,0.73,4.94,3.27,2.95,340,338.26,31.28,1.33,8.8,8.59,8.2,350,342.39,19.94
1979-02-06 01:00:00,1.53,9.02,6.39,5.24,350,342.08,22.85,0.63,4.46,3,2.72,350,339.05,33.24,1.39,9.02,8.35,7.94,350,342.64,19.98
1979-02-06 02:00:00,1.55,10.2,6.53,5.36,350,342.56,22.57,0.62,4.46,2.99,2.71,350,339.09,33.4,1.42,10.2,8.4,8.01,350,343.13,19.83
1979-02-06 03:00:00,1.57,10.31,6.67,5.46,350,343.54,22.22,0.52,3.89,2.7,2.44,0,344.29,33.79,1.48,10.31,8.16,7.7,350,343.46,20.32
1979-02-06 04:00:00,1.6,10.43,6.76,5.55,350,344.43,21.83,0.54,4.01,2.75,2.5,0,345.78,34.01,1.51,10.43,8.29,7.86,350,344.28,19.76
1979-02-06 05:00:00,1.62,10.55,6.95,5.72,350,345.08,21.43,0.44,3.58,2.49,2.26,0,346.04,34.83,1.56,10.55,8.12,7.62,350,345.02,19.96
